trace,ckpt,class,frames,cmd_orig,cmd_relabel,mean_realized,drift_vx,drift_vy,drift_yaw
data/traces/walk_v27_multi/3600/vxn030_vyn030_yawn050.npz,3600,clean,780,"[-0.30000001192092896, -0.30000001192092896, -0.5]","[-0.16233359277248383, 0.0, -0.6927598714828491]","[-0.16233359277248383, 0.010038883425295353, -0.6927598714828491]",0.0,0.0,0.0
data/traces/walk_v27_multi/3600/vxn030_vyn030_yawp000.npz,3600,clean,780,"[-0.30000001192092896, -0.30000001192092896, 0.0]","[-0.17478340864181519, 0.0, 0.0]","[-0.17478340864181519, 0.002441081451252103, 0.0902976468205452]",0.0,0.0,0.0902976468205452
data/traces/walk_v27_multi/3600/vxn030_vyn030_yawp050.npz,3600,clean,780,"[-0.30000001192092896, -0.30000001192092896, 0.5]","[-0.1622677892446518, 0.0, 0.8756266832351685]","[-0.1622677892446518, -0.007974320091307163, 0.8756266832351685]",0.0,0.0,0.0
data/traces/walk_v27_multi/3600/vxn030_vyp000_yawn050.npz,3600,clean,780,"[-0.30000001192092896, 0.0, -0.5]","[-0.16190873086452484, 0.0, -0.8107236623764038]","[-0.16190873086452484, 0.011922448873519897, -0.8107236623764038]",0.0,0.011922448873519897,0.0
data/traces/walk_v27_multi/3600/vxn030_vyp000_yawp000.npz,3600,clean,780,"[-0.30000001192092896, 0.0, 0.0]","[-0.17737166583538055, 0.0, 0.0]","[-0.17737166583538055, 0.002598445164039731, -0.019303856417536736]",0.0,0.002598445164039731,0.019303856417536736
data/traces/walk_v27_multi/3600/vxn030_vyp000_yawp050.npz,3600,clean,780,"[-0.30000001192092896, 0.0, 0.5]","[-0.15800322592258453, 0.0, 0.7725923657417297]","[-0.15800322592258453, -0.006775746122002602, 0.7725923657417297]",0.0,0.006775746122002602,0.0
data/traces/walk_v27_multi/3600/vxn030_vyp030_yawn050.npz,3600,clean,780,"[-0.30000001192092896, 0.30000001192092896, -0.5]","[-0.15948276221752167, 0.0, -0.9448280334472656]","[-0.15948276221752167, 0.014963090419769287, -0.9448280334472656]",0.0,0.0,0.0
data/traces/walk_v27_multi/3600/vxn030_vyp030_yawp000.npz,3600,clean,780,"[-0.30000001192092896, 0.30000001192092896, 0.0]","[-0.1750994324684143, 0.0, 0.0]","[-0.1750994324684143, 0.004131285008043051, -0.1499015837907791]",0.0,0.0,0.1499015837907791
data/traces/walk_v27_multi/3600/vxn030_vyp030_yawp050.npz,3600,clean,780,"[-0.30000001192092896, 0.30000001192092896, 0.5]","[-0.158738911151886, 0.0, 0.6241761445999146]","[-0.158738911151886, -0.005959233734756708, 0.6241761445999146]",0.0,0.0,0.0
data/traces/walk_v27_multi/3600/vxp000_vyp000_yawp000.npz,3600,clean,780,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[-0.0031831273809075356, -0.0001491736329626292, -0.0008869579760357738]",0.0031831273809075356,0.0001491736329626292,0.0008869579760357738
data/traces/walk_v27_multi/3600/vxp030_vyn030_yawn050.npz,3600,clean,780,"[0.30000001192092896, -0.30000001192092896, -0.5]","[0.2125079333782196, 0.0, -0.6661879420280457]","[0.2125079333782196, 0.006754640489816666, -0.6661879420280457]",0.0,0.0,0.0
data/traces/walk_v27_multi/3600/vxp030_vyn030_yawp000.npz,3600,clean,780,"[0.30000001192092896, -0.30000001192092896, 0.0]","[0.2059043049812317, 0.0, 0.0]","[0.2059043049812317, -0.0006427125772461295, -0.05461768060922623]",0.0,0.0,0.05461768060922623
data/traces/walk_v27_multi/3600/vxp030_vyn030_yawp050.npz,3600,clean,780,"[0.30000001192092896, -0.30000001192092896, 0.5]","[0.21779906749725342, 0.0, 0.6310263872146606]","[0.21779906749725342, -0.012899857014417648, 0.6310263872146606]",0.0,0.0,0.0
